List of PGPA Act Commonwealth entities and companies,,,
Updated as of 2 February 2026,,,
,,,
,No. of Commonwealth Entities & Companies,195 ,
,,,
Title,Portfolio,Type of Body,Materiality
Australian Fisheries Management Authority,"Agriculture, Fisheries and Forestry",A. Non-corporate Commonwealth Entity,Small
"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",A. Non-corporate Commonwealth Entity,Material
Australian Pesticides and Veterinary Medicines Authority,"Agriculture, Fisheries and Forestry",B. Corporate Commonwealth Entity,Small
Cotton Research and Development Corporation,"Agriculture, Fisheries and Forestry",B. Corporate Commonwealth Entity,Small
Fisheries Research and Development Corporation,"Agriculture, Fisheries and Forestry",B. Corporate Commonwealth Entity,Small
Grains Research and Development Corporation,"Agriculture, Fisheries and Forestry",B. Corporate Commonwealth Entity,Small
Regional Investment Corporation,"Agriculture, Fisheries and Forestry",B. Corporate Commonwealth Entity,Small
Rural Industries Research and Development Corporation (trading as AgriFutures Australia),"Agriculture, Fisheries and Forestry",B. Corporate Commonwealth Entity,Small
Wine Australia,"Agriculture, Fisheries and Forestry",B. Corporate Commonwealth Entity,Small
Administrative Review Tribunal,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Attorney-General's Department,Attorney-General's,A. Non-corporate Commonwealth Entity,Material
Australian Law Reform Commission,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Federal Court of Australia,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
National Anti-Corruption Commission,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Office of Parliamentary Counsel,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Office of the Australian Information Commissioner,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Office of the Commonwealth Ombudsman,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Office of the Director of Public Prosecutions,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Office of the Inspector-General of Intelligence and Security,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Office of the Special Investigator,Attorney-General's,A. Non-corporate Commonwealth Entity,Small
Australian Human Rights Commission,Attorney-General's,B. Corporate Commonwealth Entity,Small
Bureau of Meteorology,"Climate Change, Energy, the Environment and Water",A. Non-corporate Commonwealth Entity,Material
Clean Energy Regulator,"Climate Change, Energy, the Environment and Water",A. Non-corporate Commonwealth Entity,Material
Climate Change Authority,"Climate Change, Energy, the Environment and Water",A. Non-corporate Commonwealth Entity,Small
"Department of Climate Change, Energy, the Environment and Water","Climate Change, Energy, the Environment and Water",A. Non-corporate Commonwealth Entity,Material
Great Barrier Reef Marine Park Authority,"Climate Change, Energy, the Environment and Water",A. Non-corporate Commonwealth Entity,Small
Australian Institute of Marine Science,"Climate Change, Energy, the Environment and Water",B. Corporate Commonwealth Entity,Small
Australian Renewable Energy Agency,"Climate Change, Energy, the Environment and Water",B. Corporate Commonwealth Entity,Small
Clean Energy Finance Corporation,"Climate Change, Energy, the Environment and Water",B. Corporate Commonwealth Entity,Material
Director of National Parks,"Climate Change, Energy, the Environment and Water",B. Corporate Commonwealth Entity,Small
Murray-Darling Basin Authority,"Climate Change, Energy, the Environment and Water",B. Corporate Commonwealth Entity,Small
Sydney Harbour Federation Trust,"Climate Change, Energy, the Environment and Water",B. Corporate Commonwealth Entity,Small
Snowy Hydro Ltd,"Climate Change, Energy, the Environment and Water",C. Commonwealth Company,Material
Australian Signals Directorate,Defence,A. Non-corporate Commonwealth Entity,Material
Australian Submarine Agency,Defence,A. Non-corporate Commonwealth Entity,Small
Department of Defence,Defence,A. Non-corporate Commonwealth Entity,Material
Army and Air Force Canteen Service,Defence,B. Corporate Commonwealth Entity,Small
Australian Military Forces Relief Trust Fund,Defence,B. Corporate Commonwealth Entity,Small
Defence Housing Australia,Defence,B. Corporate Commonwealth Entity,Material
Royal Australian Air Force Veterans' Residences Trust Fund,Defence,B. Corporate Commonwealth Entity,Small
Royal Australian Air Force Welfare Trust Fund,Defence,B. Corporate Commonwealth Entity,Small
Royal Australian Navy Central Canteens Board (Royal Australian Navy Central Canteens Fund),Defence,B. Corporate Commonwealth Entity,Small
Royal Australian Navy Relief Trust Fund,Defence,B. Corporate Commonwealth Entity,Small
AAF Company (Trustee of Army Amenities Fund and Messes Trust Fund),Defence,C. Commonwealth Company,Small
Australian Strategic Policy Institute Limited,Defence,C. Commonwealth Company,Small
RAAF Welfare Recreational Company,Defence,C. Commonwealth Company,Small
Defence and Veterans' Services Commission,Defence,A. Non-corporate Commonwealth Entity,Small
Australian Research Council,Education,A. Non-corporate Commonwealth Entity,Material
Department of Education,Education,A. Non-corporate Commonwealth Entity,Material
Tertiary Education Quality and Standards Agency,Education,A. Non-corporate Commonwealth Entity,Small
"Australian Curriculum, Assessment and Reporting Authority",Education,B. Corporate Commonwealth Entity,Small
Australian National University,Education,B. Corporate Commonwealth Entity,Small
Australian Institute for Teaching and School Leadership Limited,Education,C. Commonwealth Company,Small
Asbestos and Silica Safety and Eradication Agency,Employment and Workplace Relations,A. Non-corporate Commonwealth Entity,Small
Australian Skills Quality Authority (National Vocational Education and Training Regulator),Employment and Workplace Relations,A. Non-corporate Commonwealth Entity,Small
Department of Employment and Workplace Relations,Employment and Workplace Relations,A. Non-corporate Commonwealth Entity,Material
Fair Work Commission,Employment and Workplace Relations,A. Non-corporate Commonwealth Entity,Small
Office of the Fair Work Ombudsman,Employment and Workplace Relations,A. Non-corporate Commonwealth Entity,Small
Safe Work Australia,Employment and Workplace Relations,A. Non-corporate Commonwealth Entity,Small
"Seafarers Safety, Rehabilitation and Compensation Authority",Employment and Workplace Relations,A. Non-corporate Commonwealth Entity,Small
Coal Mining Industry (Long Service Leave Funding) Corporation,Employment and Workplace Relations,B. Corporate Commonwealth Entity,Material
Comcare,Employment and Workplace Relations,B. Corporate Commonwealth Entity,Material
Australian Electoral Commission,Finance,A. Non-corporate Commonwealth Entity,Small
Department of Finance,Finance,A. Non-corporate Commonwealth Entity,Material
